update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate,pi_loss,v_loss,entropy,total_loss
880,160,4.254535898335968,0.00028470772648917013,0.0,0.00024402608970839658,0.0,-0.019582033884944394,0.0013960996438981965,6.811753153800964,-0.08700151578523219
900,160,4.266461317886659,0.003705742442607761,0.00625,0.0002407452625915624,0.0,-0.019678601121995598,0.00096016468887683,6.60541245341301,-0.08525264263153076
920,160,4.262351135485585,0.0020663385822590583,0.00625,0.00024199165272001033,0.0,-0.015269678784534335,0.0018891269937739708,6.734033226966858,-0.08166544605046511
940,160,4.239074715732633,0.00027581232170899317,0.0,0.00024970905919191486,0.0,-0.01762974529992789,0.0009586144333297852,6.929645925760269,-0.0864468957297504
960,160,4.265928632521015,0.00026975501190621727,0.0,0.00024129288579384324,0.0,-0.017678057454759255,0.0015097466093720868,6.900872051715851,-0.08593190275132656
980,160,4.296671485096368,0.000284370906555428,0.0,0.00023479087995856036,0.0,-0.01821192796342075,0.001338135240075644,6.429174989461899,-0.08183460892178118
1000,160,4.28146083194942,0.00046789170237568025,0.0,0.00023870901267229448,0.0,-0.019938229117542505,0.0018397571984678507,6.564356654882431,-0.08466191659681499
1020,160,4.305663341985045,0.00025734926017760725,0.0,0.0002331238351391012,0.0,-0.019500803959090263,0.00142530429729959,6.795993834733963,-0.0867480905726552
1040,160,4.265906660683635,0.0002937857941600973,0.0,0.0002447023396604241,0.0,-0.016498090117238462,0.0012365498405415565,6.8172537088394165,-0.08405235060490668
1060,160,4.252851235244819,0.0006080038378397564,0.0,0.00026020549258553113,0.0,-0.01844884449383244,0.0016900068949325942,6.705107688903809,-0.08465491724200547
1080,160,4.272250429748131,0.00026033564051794087,0.0,0.00024122138128841375,0.0,-0.01307180302683264,0.002097578704706393,6.473504453897476,-0.07675805781036615
1100,160,4.282549818483926,0.006689421163545753,0.01875,0.00024464380430485,0.0,-0.015212205820716918,0.0015270558797055855,6.825112968683243,-0.08269980573095381
